VendorID,ItemNumber,ItemRevision,RequiredQuantity,DueDate,ItemSupplyKey,VendorKey,ItemKey
10046,"30086-1350",E ,40,2018-04-13 00:00:00,286656957,117,4701
10046,"30086-1350",E ,40,2018-05-22 00:00:00,286656958,117,4701
10046,"30086-1350",E ,40,2018-06-21 00:00:00,286656960,117,4701
10046,"30086-1350",E ,40,2018-07-20 00:00:00,286656971,117,4701
10046,"30086-1350",E ,40,2018-08-22 00:00:00,286656972,117,4701
10046,"31169-1152",A ,20,2018-01-29 00:00:00,288408327,117,7167
10046,"31169-1152",A ,20,2018-02-20 00:00:00,288408380,117,7167
10046,"31169-1152",A ,20,2018-04-30 00:00:00,288408468,117,7167
10046,"31169-1152",A ,20,2018-05-24 00:00:00,288408534,117,7167
10046,"31169-1152",A ,20,2018-05-31 00:00:00,288408596,117,7167
10046,"31169-1152",A ,20,2018-11-29 00:00:00,288408662,117,7167
10046,"31169-1152",A ,40,2017-11-16 00:00:00,288408236,117,7167
10046,"31169-1152",A ,40,2017-12-27 00:00:00,288408268,117,7167
10046,"31169-1152",A ,40,2018-03-28 00:00:00,288408432,117,7167
10046,"31169-1152",A ,60,2017-10-17 00:00:00,288408196,117,7167
10046,"31169-1152",A ,100,2017-09-22 00:00:00,288408166,117,7167
10046,"31169-1271",E ,20,2017-09-20 00:00:00,288398222,117,7193
10046,"31169-1271",E ,20,2017-10-06 00:00:00,288398223,117,7193
10046,"31169-1271",E ,20,2017-10-13 00:00:00,288398224,117,7193
10046,"31169-1271",E ,20,2017-12-25 00:00:00,288398226,117,7193
10046,"31169-1271",E ,20,2018-01-25 00:00:00,288398227,117,7193
10046,"31169-1271",E ,20,2018-02-16 00:00:00,288398228,117,7193
10046,"31169-1271",E ,20,2018-03-26 00:00:00,288398229,117,7193
10046,"31169-1271",E ,20,2018-06-28 00:00:00,288398231,117,7193
10046,"31169-1271",E ,20,2018-07-31 00:00:00,288398232,117,7193
10046,"31169-1271",E ,20,2018-08-30 00:00:00,288398233,117,7193
10046,"31169-1271",E ,20,2018-10-01 00:00:00,288398234,117,7193
10046,"31169-1271",E ,40,2017-11-14 00:00:00,288398225,117,7193
10046,"31169-1271",E ,40,2018-05-22 00:00:00,288398230,117,7193
10046,"31169-2301",E ,4,2018-10-31 00:00:00,288410534,117,7317
10046,"31169-2301",E ,6,2018-03-26 00:00:00,288410260,117,7317
10046,"31169-2301",E ,6,2018-06-28 00:00:00,288410343,117,7317
10046,"31169-2301",E ,6,2018-07-31 00:00:00,288410387,117,7317
10046,"31169-2301",E ,6,2018-08-30 00:00:00,288410432,117,7317
10046,"31169-2301",E ,6,2018-10-01 00:00:00,288410490,117,7317
10046,"31169-2301",E ,7,2017-12-25 00:00:00,288410220,117,7317
10046,"31169-2301",E ,12,2018-01-25 00:00:00,288410236,117,7317
10046,"31169-2301",E ,14,2017-11-07 00:00:00,288410203,117,7317
10046,"31169-2301",E ,17,2018-04-26 00:00:00,288410299,117,7317
10046,"31169-2301",E ,21,2017-09-20 00:00:00,288410185,117,7317
10046,"31708-1511",E ,25,2018-06-05 00:00:00,286112407,117,7730
10046,"31708-1511",E ,50,2017-09-22 00:00:00,286112405,117,7730
